"phenotype","model","contrast","rank","GOID","TERM","ONTOLOGY"
"cvda","lifestyle","cvda_4gp22","parent_term_2","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"cvda","lifestyle","cvda_4gp22","parent_term_3","GO:0042273","ribosomal large subunit biogenesis","BP"
"cvda","lifestyle","cvda_4gp23","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","lifestyle","cvda_4gp23","parent_term_2","GO:0035902","response to immobilization stress","BP"
"cvda","lifestyle","cvda_4gp23","parent_term_3","GO:0042273","ribosomal large subunit biogenesis","BP"
"cvda","AD","cvda_4gp21","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","AD","cvda_4gp21","parent_term_2","GO:0042274","ribosomal small subunit biogenesis","BP"
"cvda","AD","cvda_4gp21","parent_term_3","GO:0007007","inner mitochondrial membrane organization","BP"
"cvda","AD","cvda_4gp22","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","AD","cvda_4gp22","parent_term_2","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"cvda","AD","cvda_4gp22","parent_term_3","GO:0007339","binding of sperm to zona pellucida","BP"
"cvda","AD","cvda_4gp23","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","AD","cvda_4gp23","parent_term_2","GO:0035902","response to immobilization stress","BP"
"cvda","AD","cvda_4gp23","parent_term_3","GO:0042273","ribosomal large subunit biogenesis","BP"
"cvda","path","cvda_4gp21","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","path","cvda_4gp21","parent_term_2","GO:0042274","ribosomal small subunit biogenesis","BP"
"cvda","path","cvda_4gp21","parent_term_3","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP"
"cvda","path","cvda_4gp22","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","path","cvda_4gp22","parent_term_2","GO:0021762","substantia nigra development","BP"
"cvda","path","cvda_4gp22","parent_term_3","GO:0042274","ribosomal small subunit biogenesis","BP"
"cvda","path","cvda_4gp23","parent_term_1","GO:0002181","cytoplasmic translation","BP"
"cvda","path","cvda_4gp23","parent_term_2","GO:0035902","response to immobilization stress","BP"
"cvda","path","cvda_4gp23","parent_term_3","GO:0042274","ribosomal small subunit biogenesis","BP"
"mct","lifestyle","ci_num2_mct1","parent_term_1","GO:0006635","fatty acid beta-oxidation","BP"
"mct","lifestyle","ci_num2_mct1","parent_term_2","GO:0007007","inner mitochondrial membrane organization","BP"
